	#	#	#	#	https://www.millesima.fr/	
AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=L%2Fr9OsAkALDW%2B%2BFYnbML%2BstcluKDIErf89CYYDBuaTTF%2BDPlEsm%2FuFK%2FomD5MDMBwfVByXL%2BN4qwL6FdZhTqqXt82m6WBXicDZHwdf3%2ByPD1UeKV8tgBBhqOiNzs7W%2FWN5ZUt48P19P0mrhpo5PXa%2FjnPFghroLeubfIrBlMBlC%2BomK%2Bp0u32NybmucsCjQ67AYMnk%2Fta%2BlKeqai%2BSBtSQ%3D%3D&ddkey=https%3ARESTOrderCalculate	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=L%2Fr9OsAkALDW%2B%2BFYnbML%2BstcluKDIErf89CYYDBuaTTF%2BDPlEsm%2FuFK%2FomD5MDMBwfVByXL%2BN4qwL6FdZhTqqXt82m6WBXicDZHwdf3%2ByPD1UeKV8tgBBhqOiNzs7W%2FWN5ZUt48P19P0mrhpo5PXa%2FjnPFghroLeubfIrBlMBlC%2BomK%2Bp0u32NybmucsCjQ67AYMnk%2Fta%2BlKeqai%2BSBtSQ%3D%3D&ddkey=https%3ARESTOrderCalculate	
producteur-montepeloso	Montepeloso	1	#	||accueil|||italie|||région|||toscane|||producteur|	https://www.millesima.fr/producteur-montepeloso.html	
producteur-frescobaldi---tenuta-ammiraglia	Frescobaldi - Tenuta Ammiraglia	1	#	||accueil|||italie|||région|||toscane|||producteur|	https://www.millesima.fr/producteur-frescobaldi---tenuta-ammiraglia.html	
producteur-le-pupille	Fattoria Le Pupille	8	#	||accueil|||italie|||région|||toscane|||producteur|	https://www.millesima.fr/producteur-le-pupille.html	
ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/italie-regions/trentin-haut-adige/ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	
producteur-rocca-di-frassinello	Rocca di Frassinello	13	#	||accueil|||italie|||région|||toscane|||producteur|	https://www.millesima.fr/producteur-rocca-di-frassinello.html	
CategoryDisplay?storeId=11652&urlLangId=-2&beginIndex=0&urlRequestType=Base&categoryId=267709&pageView=&langId=-2&catalogId=10554	Pinot Grigio	1	#	#	https://www.millesima.fr/CategoryDisplay?storeId=11652&urlLangId=-2&beginIndex=0&urlRequestType=Base&categoryId=267709&pageView=&langId=-2&catalogId=10554	
Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	#	#	#	#	https://www.millesima.fr/italie/italie-regions/trentin-haut-adige/Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	
morellino-di-scansano	Morellino di Scansano	8	#	||accueil|||italie|||région|||toscane|||appellation|	https://www.millesima.fr/morellino-di-scansano.html	
producteur-casavyc	Casavyc	1	#	||accueil|||italie|||région|||toscane|||producteur|	https://www.millesima.fr/producteur-casavyc.html	
producteur-tenimenti-luigi-d-alessandro	Tenimenti Luigi d'Alessandro	1	#	||accueil|||italie|||région|||toscane|||producteur|	https://www.millesima.fr/producteur-tenimenti-luigi-d-alessandro.html	
CategoryDisplay?storeId=11652&urlLangId=-2&beginIndex=0&urlRequestType=Base&categoryId=267711&pageView=&langId=-2&catalogId=10554	Sangiovese	169	#	#	https://www.millesima.fr/CategoryDisplay?storeId=11652&urlLangId=-2&beginIndex=0&urlRequestType=Base&categoryId=267711&pageView=&langId=-2&catalogId=10554	
CategoryDisplay?urlRequestType=Base&catalogId=10554&categoryId=267717&pageView=list&urlLangId=-2&beginIndex=0&langId=-2&top=Y&storeId=11652	Endrizzi	8	#	||accueil|||italie|||région|||trentin haut-adige|||producteur|	https://www.millesima.fr/CategoryDisplay?urlRequestType=Base&catalogId=10554&categoryId=267717&pageView=list&urlLangId=-2&beginIndex=0&langId=-2&top=Y&storeId=11652	
teroldego-rotaliano-superiore	Teroldego Rotaliano Superiore	3	#	||accueil|||italie|||région|||trentin haut-adige|||appellation|	https://www.millesima.fr/teroldego-rotaliano-superiore.html	
producteur-elio-altare	Elio Altare	8	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-elio-altare.html	
producteur-ugo-lequio	Ugo Lequio	8	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-ugo-lequio.html	
barbera-d-alba-superiore	Barbera d'Alba Superiore	2	#	||accueil|||italie|||région|||piémont|||appellation|	https://www.millesima.fr/barbera-d-alba-superiore.html	
producteur-roberto-voerzio	Roberto Voerzio	15	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-roberto-voerzio.html	
producteur-caiarossa	Caiarossa	13	#	||accueil|||italie|||région|||toscane|||producteur|	https://www.millesima.fr/producteur-caiarossa.html	
brunello-di-montalcino	Brunello di Montalcino	37	#	||accueil|||italie|||région|||toscane|||appellation|	https://www.millesima.fr/brunello-di-montalcino.html	
barbera-d-alba	Barbera d'Alba	16	#	||accueil|||italie|||région|||piémont|||appellation|	https://www.millesima.fr/barbera-d-alba.html	
producteur-poggio-di-sotto	Poggio di Sotto	5	 Poggio  di Sotto  est une propriété qui a été fondée  en 1989 et se situe  dans le sud- est de la colline de Montalcino . Elle a toujours été considérée  parmi les meilleures propriétés pour  la production de vins à base de Sangiovese . La société  est largement considérée comme  l'un des  grands classiques  du  Brunello di Montalcino  DOCG . Protégé du  Mont Amiata  d'un côté,  ouvert à  la brise marine  de  l'autre , caressée par  le fleuve  Orcia , la propriété  bénéficie d'un microclimat  unique au profit  des changements de température  importants , même en été. Les  10 ha , tous en dénomination Brunello di Montalcino, sont gérés en agriculture biologique ,et s'organisent en pentes montant progressivement  de 200 à  400 m . La vigne y trouve son équilibre.	||accueil|||italie|||région|||toscane|||producteur|	https://www.millesima.fr/producteur-poggio-di-sotto.html	
producteur-borgogno	Borgogno	21	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-borgogno.html	
producteur-domenico-clerico	Domenico Clerico	16	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-domenico-clerico.html	
producteur-cordero-di-montezemolo	Cordero di Montezemolo	16	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-cordero-di-montezemolo.html	
producteur-prunotto	Prunotto	17	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-prunotto.html	
producteur-castello-banfi	Castello Banfi	12	#	||accueil|||italie|||région|||toscane|||producteur|	https://www.millesima.fr/producteur-castello-banfi.html	
barbera-d-asti	Barbera d'Asti	1	#	||accueil|||italie|||région|||piémont|||appellation|	https://www.millesima.fr/barbera-d-asti.html	
producteur-bruno-rocca	Bruno Rocca	7	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-bruno-rocca.html	
piemont-appellations	Appellation	267	#	||accueil|||italie|||région|||piémont|	https://www.millesima.fr/italie/italie-regions/piemont/piemont-appellations.html	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/italie-regions/piemont/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
producteur-brezza	Brezza	13	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-brezza.html	
producteur-michele-chiarlo	Michele Chiarlo	11	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-michele-chiarlo.html	
LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/italie-regions/piemont/LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	
AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=xNJ5I0BvaRm9EV6HNZ9ToiPuUsRXI2dlF1LjeNKv3lgPzKFG7SvpoO6vlsuyo%2BfEZMv6GURyMNXzcRiTPFd0TO%2FGdOlpEniHZH%2Fs%2B4BkYnZL4I73Dawv7KK%2FpgEnPRnTJ0dj8r9jGjmg%2BbIgHAETb%2FB%2B0UAp5Qoe02EojS%2F8WjbZoI5jfmuxMQIGBFNWJ0yZuFtzNFJ6AAGwzNdFbh1AuQ%3D%3D&ddkey=https%3ARESTOrderCalculate	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=xNJ5I0BvaRm9EV6HNZ9ToiPuUsRXI2dlF1LjeNKv3lgPzKFG7SvpoO6vlsuyo%2BfEZMv6GURyMNXzcRiTPFd0TO%2FGdOlpEniHZH%2Fs%2B4BkYnZL4I73Dawv7KK%2FpgEnPRnTJ0dj8r9jGjmg%2BbIgHAETb%2FB%2B0UAp5Qoe02EojS%2F8WjbZoI5jfmuxMQIGBFNWJ0yZuFtzNFJ6AAGwzNdFbh1AuQ%3D%3D&ddkey=https%3ARESTOrderCalculate	
ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/italie-regions/piemont/ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	
nebbiolo-d-alba	Nebbiolo d'Alba	4	#	||accueil|||italie|||région|||piémont|||appellation|	https://www.millesima.fr/nebbiolo-d-alba.html	
Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	#	#	#	#	https://www.millesima.fr/italie/italie-regions/piemont/Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	
producteur-la-tour-du-pin	La Tour du Pin	2	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-la-tour-du-pin.html	
producteur-chateau-latour	Château Latour	19	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-latour.html	
producteur-chateau-lafite-rothschild	Château Lafite-Rothschild	27	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-lafite-rothschild.html	
cru-bourgeois-superieur	Cru bourgeois supérieur	11	#	#	https://www.millesima.fr/cru-bourgeois-superieur.html	
producteur-chateau-loudenne	Château Loudenne	5	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-loudenne.html	
producteur-chateau-raymond-lafon	Château Raymond-Lafon	3	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-raymond-lafon.html	
producteur-chateau-la-dominique	Château La Dominique	13	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-la-dominique.html	
producteur-chateau-meyney	Château Meyney	15	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-meyney.html	
producteur-chateau-pichon-longueville-comtesse-de-lalande	Château Pichon-Longueville Comtesse de Lalande	14	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-pichon-longueville-comtesse-de-lalande.html	
producteur-chateau-guillot	Château Guillot	2	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-guillot.html	
producteur-chateau-suduiraut	Château Suduiraut	12	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-suduiraut.html	
producteur-chateau-pichon-longueville-baron	Château Pichon Baron	14	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-pichon-longueville-baron.html	
producteur-chateau-l-evangile	Château l'Evangile	12	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-l-evangile.html	
producteur-chateau-montrose	Château Montrose	25	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-montrose.html	
producteur-chateau-ormes-de-pez	Château Ormes de Pez	13	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-ormes-de-pez.html	
producteur-chateau-leoville-poyferre	Château Léoville Poyferré	14	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-leoville-poyferre.html	
producteur-chateau-nenin	Château Nénin	20	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-nenin.html	
producteur-chateau-lynch-moussas	Château Lynch-Moussas	12	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-lynch-moussas.html	
producteur-chateau-lynch-bages	Château Lynch-Bages	26	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-lynch-bages.html	
1er-cru-superieur	1er cru Supérieur	11	#	#	https://www.millesima.fr/1er-cru-superieur.html	
france-syrah-shiraz	Syrah (Shiraz)	437	#	#	https://www.millesima.fr/france-syrah-shiraz.html	
petit-verdot	Petit Verdot	14	#	#	https://www.millesima.fr/petit-verdot.html	
producteur-chateau-marquis-d-alesme-becker	Château Marquis d'Alesme	7	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-marquis-d-alesme-becker.html	
producteur-chateau-malescot-st-exupery	Château Malescot St Exupéry	5	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-malescot-st-exupery.html	
producteur-chateau-labegorce	Château Labégorce	5	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-labegorce.html	
ProductDisplay?storeId=11652&urlLangId=-2&productId=214943&urlRequestType=Base&langId=-2&catalogId=10554	#	#	#	||accueil|||tous nos vins|||e. guigal|||hermitage|||syrah (shiraz)|	https://www.millesima.fr/ProductDisplay?storeId=11652&urlLangId=-2&productId=214943&urlRequestType=Base&langId=-2&catalogId=10554	
piemont-producteurs	Producteur	267	#	||accueil|||italie|||région|||piémont|	https://www.millesima.fr/italie/italie-regions/piemont/piemont-producteurs.html	
piemont	Piémont	267	#	||accueil|||italie|||région|	https://www.millesima.fr/italie/italie-regions/piemont.html	
italie-regions	Région	689	#	||accueil|||italie|	https://www.millesima.fr/italie/italie-regions.html	
producteur-domaine-les-aurelles	Domaine les Aurelles	12	 Créé en 1995, le Domaine des Aurelles se situe sur les croupes villafranchiennes des environs de Nizas, entre Montpellier et Béziers. Basile Saint-Germain et son épouse Caroline Voisin travaillent avec exigence dans le respect de la nature et de la biodiversité. Témoignage d'une philosophie attentionnée, le domaine pratique de faibles rendements, une cueillette manuelle, des fermentations à basse température... Une démarche authentique afin de tirer le meilleur potentiel de chaque raisin. Les vins du Domaine des Aurelles sont modernes, purs, fruités et lentement assagis par le temps. Idéalement réguliers, ces vins vieillissent tous admirablement.	||accueil|||tous nos vins|||france|||région|||languedoc|||producteur|	https://www.millesima.fr/producteur-domaine-les-aurelles.html	
languedoc-pezenas	Languedoc-Pézenas	9	#	||accueil|||tous nos vins|||france|||région|||languedoc|||appellation|	https://www.millesima.fr/languedoc-pezenas.html	
languedoc	Languedoc	52	#	||accueil|||tous nos vins|||france|||région|	https://www.millesima.fr/languedoc.html	
producteur-chateau-picque-caillou	Château Picque Caillou	12	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-picque-caillou.html	
producteur-chateau-lafon-rochet	Château Lafon-Rochet	13	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-lafon-rochet.html	
producteur-clos-du-marquis	Clos du Marquis	12	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-clos-du-marquis.html	
producteur-chateau-haut-batailley	Château Haut-Batailley	16	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-haut-batailley.html	
producteur-chateau-gruaud-larose	Château Gruaud Larose	9	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-gruaud-larose.html	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
syrah	Syrah	4	 La Syrah est un cépage originaire de la Vallée du Rhône selon certains. D'autres lui reconnaîtraient une origine Perse. Ce cépage - très répandu dans le monde - est l'âme des grands vins rouges de la Vallée du Rhône septentrionale. Sa signature aromatique très empyreumatique (réglisse, note de goudron et poivre noir) est reconnaissable dans les Cornas , les Saint-Joseph , les Crozes-Hermitage et les Hermitage . Ce cépage produit des vins aptes à la garde et offre de séduisantes notes de vanille et de fruits rouges confits.	#	https://www.millesima.fr/syrah.html	
france-cinsault	Cinsault	12	#	#	https://www.millesima.fr/france-cinsault.html	
LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	
grenache-noir		#	#	#	https://www.millesima.fr/grenache-noir.html	
producteur-chateau-moulinet	Château Moulinet	4	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-moulinet.html	
producteur-chateau-potensac	Château Potensac	11	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-potensac.html	
producteur-chateau-laroze	Château Laroze	7	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-laroze.html	
producteur-chateau-rollan-de-by	Château Rollan de By	4	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-rollan-de-by.html	
AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=eMMMfK9zo9x493q0xDGrwjqsqjTu5VRHMHmje6IpAFpXOcc9vu4XPCZb%2BZiALV8iuiCwmjuMcCEa7zwHY7pJJwINZd%2BJ1EiHEcTGRWL%2FnybNyLq5gHN6gK0A7z6S3dLDLiofU%2BGem3aBXvuDSTgrg602RGSFtFFWEHJznBsB78NMKszFs9vbc41riOtzfnwFswyOcVDqzgRdA5S5Vh9wNg%3D%3D&ddkey=https%3ARESTOrderCalculate	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=eMMMfK9zo9x493q0xDGrwjqsqjTu5VRHMHmje6IpAFpXOcc9vu4XPCZb%2BZiALV8iuiCwmjuMcCEa7zwHY7pJJwINZd%2BJ1EiHEcTGRWL%2FnybNyLq5gHN6gK0A7z6S3dLDLiofU%2BGem3aBXvuDSTgrg602RGSFtFFWEHJznBsB78NMKszFs9vbc41riOtzfnwFswyOcVDqzgRdA5S5Vh9wNg%3D%3D&ddkey=https%3ARESTOrderCalculate	
ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	
producteur-pieria-eratini	Pieria Eratini	5	#	||accueil|||tous nos vins|||grèce|||région|||macédoine et thrace|||producteur|	https://www.millesima.fr/producteur-pieria-eratini.html	
macedonia	Macedonia	5	#	||accueil|||tous nos vins|||grèce|||région|||macédoine et thrace|||appellation|	https://www.millesima.fr/macedonia.html	
macedoine-et-thrace	Macédoine et Thrace	5	#	||accueil|||tous nos vins|||grèce|||région|	https://www.millesima.fr/macedoine-et-thrace.html	
grece-syrah	Syrah	1	#	#	https://www.millesima.fr/grece-syrah.html	
Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	#	#	#	#	https://www.millesima.fr/italie/Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	
grece-cabernet-sauvignon	Cabernet Sauvignon	2	#	#	https://www.millesima.fr/grece-cabernet-sauvignon.html	
producteur-angelo-gaja	Angelo Gaja	4	 Depuis le XIXème siècle, la famille Gaja est devenue une figure emblématique des vins piémontais. Gaia Gaja est la cinquième génération à posséder et gérer la célèbre maison Gaja à Barbaresco et la seconde à diriger les vignobles de Ca'Marcanda à Bolgheri ainsi que Pieve Santa Restituta à Montalcino . Conformément à leur réputation de précurseurs en Italie, la famille Gaja étudie depuis plus de 15 ans les moyens d'atténuer les effets du réchauffement climatique dans leurs vignobles du Piémont et de la Toscane. Aujourd'hui, le domaine est, sans conteste, une figure emblématique des vins italiens et plus particulièrement des vins du Piémont. Angelo Gaja fut le premier importateur de cépages français (Cabernet Sauvignon, Chardonnay et Sauvignon Blanc) pour remplacer le Nebbiolo (cépage roi de la région) et le premier à utiliser des fûts de chêne français neuf à la place des foudres de chêne yougoslave. Aujourd'hui, son Cabernet Damagi est considéré comme l'un des meilleurs Cabernet du monde. Un travail rigoureux est effectué dans la vigne (effeuillage, vendanges au vert...) et les fermentations et élevages sont réalisés avec la plus grande minutie.	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-angelo-gaja.html	
producteur-produttori-del-barbaresco	Produttori del Barbaresco	2	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-produttori-del-barbaresco.html	
producteur-conterno-fantino	Conterno Fantino	11	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-conterno-fantino.html	
producteur-pio-cesare	Pio Cesare	17	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-pio-cesare.html	
langhe	Langhe	14	#	||accueil|||italie|||région|||piémont|||appellation|	https://www.millesima.fr/langhe.html	
producteur-g-d-vajra	G.D. Vajra	6	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-g-d-vajra.html	
chinato	Chinato	1	#	||accueil|||italie|||région|||piémont|||appellation|	https://www.millesima.fr/chinato.html	
producteur-rocche-dei-manzoni	Rocche dei Manzoni	16	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-rocche-dei-manzoni.html	
producteur-chateau-coussin	Château Coussin	9	#	||accueil|||tous nos vins|||france|||région|||provence|||producteur|	https://www.millesima.fr/producteur-chateau-coussin.html	
producteur-chateau-d-esclans	Château d'Esclans	7	 Les premières traces du château d'Esclans remontent à l'Empire Romain. Il était alors un poste d'observation du golfe de Fréjus, afin de prévenir d'éventuelles invasions maritimes. Construit au 19 ème siècle, le château actuel a connu de nombreux propriétaires. Il fût d'abord acheté par les frères Ranque, avant d'appartenir à Joseph Toussaint Caussemille en 1875, et de passer aux mains de la famille Perraud de 1955 à 1994. Il fût ensuite la propriété d'un fond de pension suédois avant son acquisition par Sacha Lichine en 2006. Ce bordelais d'origine (château Prieuré-Lichine, à Margaux) crée alors une marque mondiale et contribue fortement à la croissance des vins rosés Côtes de Provence sur le segment des rosés de luxe, sinon de haut niveau.	||accueil|||tous nos vins|||france|||région|||provence|||producteur|	https://www.millesima.fr/producteur-chateau-d-esclans.html	
producteur-chateau-leoube	Château Léoube	4	 Situé au coeur du Cap Bénat, le château Léoube cultive ses vignes, vergers et oliviers sur l'un des plus beaux sites protégés d'Europe. Il s'étend sur 560 hectares - dont 65 ha de vignoble - au creux d'une anse naturelle le protégeant ainsi du mistral. Certifié ECOCERT depuis 2011 (avec le label AB vin issu de raisins en production biologique »), le château Léoube, AOP Côtes de Provence a entreprit une véritable démarche agro-environnementale. Ce terroir varois, qui appartient depuis dix ans à une famille anglaise, est conduit en culture traditionnelle, dans le plus grand respect de l'environnement.	||accueil|||tous nos vins|||france|||région|||provence|||producteur|	https://www.millesima.fr/producteur-chateau-leoube.html	
producteur-chateau-barbeiranne	Château Barbeiranne	6	#	||accueil|||tous nos vins|||france|||région|||provence|||producteur|	https://www.millesima.fr/producteur-chateau-barbeiranne.html	
producteur-chateau-de-bellet	Château de Bellet	6	 Ce sont les barons de Bellet qui ont fondé ce prestigieux domaine, sur les hauteurs de Nice. Cette famille, originaire de Savoie, donnera son nom à l'appellation en 1941. A 200 mètres d'altitude, entre mer et montagne, le vignoble du domaine a pour toile de fond les Alpes enneigées dominant l'azur méditerranéen. Depuis plus de deux siècles, des personnalités historiques ont apprécié le château Bellet comme Thomas Jefferson - qui découvrit ce ½ grand cru niçois » durant une visite - jusqu'au prince Albert de Monaco, qui le fît servir à son mariage.	||accueil|||tous nos vins|||france|||région|||provence|||producteur|	https://www.millesima.fr/producteur-chateau-de-bellet.html	
cotes-de-provence-sainte-victoire	Côtes de Provence Sainte-Victoire	8	#	||accueil|||tous nos vins|||france|||région|||provence|||appellation|	https://www.millesima.fr/cotes-de-provence-sainte-victoire.html	
bellet	Bellet	6	#	||accueil|||tous nos vins|||france|||région|||provence|||appellation|	https://www.millesima.fr/bellet.html	
producteur-peyrassol	Peyrassol	10	 Fondé au 13 ème siècle par l'Ordre des Templiers, le domaine Peyrassol fût ensuite légué à l'Ordre des chevaliers de Malte. Ils s'en occuperont jusqu'en 1789, et en feront un véritable lieu de repos sur la route de la Terre Sainte. En 2001, Philippe Astruy vient perpétuer l'histoire du domaine. Un an plus tard, la première oliveraire est plantée et une restructuration du vignoble est amorcée. Un renouveau qui continue toujours à l'heure actuelle, avec la construction d'un nouveau cuvier. Celui-ci reflète l'exigence perpétuelle du propriétaire et son envie de révéler la qualité du terroir de ce Côtes de Provence .	||accueil|||tous nos vins|||france|||région|||provence|||producteur|	https://www.millesima.fr/producteur-peyrassol.html	
producteur-chateau-sociando-mallet	Château Sociando-Mallet	23	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-sociando-mallet.html	
producteur-chateau-maucaillou	Château Maucaillou	4	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-maucaillou.html	
producteur-chateau-haut-marbuzet	Château Haut-Marbuzet	19	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-haut-marbuzet.html	
producteur-chateau-tronquoy-lalande	Château Tronquoy-Lalande	12	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-tronquoy-lalande.html	
producteur-chateau-grand-corbin	Château Grand Corbin	4	 Le château Grand-Corbin est idéalement situé au Nord-Ouest du plateau de Saint-Emilion , attenant à l’appellation Pomerol . Le domaine voit le jour à la fin du XVIIIème siècle, grâce à Guillaume Ignace Bouchereau, le « Prince des vignes », ancien planteur d’une quarantaine d’année ayant décidé de revenir en France et de se consacrer à la vigne. Le magnifique vignoble, d’un seul tenant, s’étend sur 28.5 hectares sur un sol composé de silice dans un lit d’argiles bleues. L’encépagement se compose de 70% de  Merlot , de 25% de Cabernet Franc et de 5% de Cabernet Sauvignon .	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-grand-corbin.html	
producteur-chateau-lagrange	Château Lagrange	22	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-lagrange.html	
producteur-chateau-peyrabon	Château Peyrabon	27	 Le château Peyrabon est un cru bourgeois à forte personnalité, situé dans l'appellation au Haut-Médoc . Son actuel propriétaire depuis 1998, la société de négoce Millésima , tombe sous le charme de ces 50 hectares de terres graveleuses très prometteuses. Patrick Bernard et son équipe, emmenée par Xavier Michelet - y consacrent passionnément des efforts sans compromis pour signer des vins authentiques, élégants, soyeux, marqués par leur fruité et cette fraîcheur si agréable typée Cabernet Sauvignon.	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-peyrabon.html	
producteur-chateau-prieure-lichine	Château Prieuré-Lichine	18	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-prieure-lichine.html	
LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/bordeaux/LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	
